INPUT_FILE:,../data/testdata1.txt
CPU_SWITCH_TIME:,3
SYSTEM_TIME:,10/12/2017 09:18:35
,
SCHEDULER:,FIRST_COME_FIRST_SERVE
PID:,1,2,3,4,5,6,7,8,9
106,274,138,0,0,0,0,0,114,617
107,274,138,0,0,0,0,0,89,617
108,274,138,0,0,0,0,0,89,592
109,249,138,0,0,0,0,0,89,592
110,249,113,0,0,0,0,0,89,592
111,249,113,0,0,0,0,0,64,592
112,249,113,0,0,0,0,0,64,567
113,224,113,0,0,0,0,0,64,567
114,224,88,0,0,0,0,0,64,567
115,224,88,0,0,0,0,0,39,567
116,224,88,0,0,0,0,0,39,542
117,199,88,0,0,0,0,0,39,542
118,199,63,0,0,0,0,0,39,542
119,199,63,0,0,0,0,0,14,542
120,199,63,0,0,0,0,0,14,517
121,174,63,0,0,0,0,0,14,517
122,174,38,0,0,0,0,0,14,517
123,174,38,0,0,0,0,0,0,517
124,174,38,0,0,0,0,0,0,492
125,149,38,0,0,0,0,0,0,492
126,149,13,0,0,0,0,0,0,492
127,149,13,0,0,0,0,0,0,467
128,124,13,0,0,0,0,0,0,467
129,124,0,0,0,0,0,0,0,467
130,124,0,0,0,0,0,0,0,442
131,99,0,0,0,0,0,0,0,442
132,99,0,0,0,0,0,0,0,417
133,74,0,0,0,0,0,0,0,417
134,74,0,0,0,0,0,0,0,392
135,49,0,0,0,0,0,0,0,392
136,49,0,0,0,0,0,0,0,367
137,24,0,0,0,0,0,0,0,367
138,24,0,0,0,0,0,0,0,342
139,0,0,0,0,0,0,0,0,342
140,0,0,0,0,0,0,0,0,317
141,0,0,0,0,0,0,0,0,292
142,0,0,0,0,0,0,0,0,267
143,0,0,0,0,0,0,0,0,242
144,0,0,0,0,0,0,0,0,217
145,0,0,0,0,0,0,0,0,192
146,0,0,0,0,0,0,0,0,167
147,0,0,0,0,0,0,0,0,142
148,0,0,0,0,0,0,0,0,117
149,0,0,0,0,0,0,0,0,92
150,0,0,0,0,0,0,0,0,67
151,0,0,0,0,0,0,0,0,42
152,0,0,0,0,0,0,0,0,17
153,0,0,0,0,0,0,0,0,0
TURN_AROUND_TIME:,3802,3523,2223,2902,2074,1405,2775,3367,4186
Total_Turnaround_Time:,26257
Average_Turnaround_Time:,2917.4444444444443
,
SCHEDULER:,ROUND_ROBIN_(50)
PID:,1,2,3,4,5,6,7,8,9
BURST_TIME:,624,488,231,337,222,130,317,439,942
PRIORITY:,2,15,16,7,3,17,11,8,10
TIME,PID_1,PID_2,PID_3,PID_4,PID_5,PID_6,PID_7,PID_8,PID_9
0,624,488,231,337,222,130,317,439,942
1,574,488,231,337,222,130,317,439,942
2,574,438,231,337,222,130,317,439,942
3,574,438,181,337,222,130,317,439,942
4,574,438,181,287,222,130,317,439,942
5,574,438,181,287,172,130,317,439,942
6,574,438,181,287,172,80,317,439,942
7,574,438,181,287,172,80,267,439,942
8,574,438,181,287,172,80,267,389,942
9,574,438,181,287,172,80,267,389,892
10,524,438,181,287,172,80,267,389,892
11,524,388,181,287,172,80,267,389,892
12,524,388,131,287,172,80,267,389,892
13,524,388,131,237,172,80,267,389,892
14,524,388,131,237,122,80,267,389,892
15,524,388,131,237,122,30,267,389,892
16,524,388,131,237,122,30,217,389,892
17,524,388,131,237,122,30,217,339,892
18,524,388,131,237,122,30,217,339,842
19,474,388,131,237,122,30,217,339,842
20,474,338,131,237,122,30,217,339,842
21,474,338,81,237,122,30,217,339,842
22,474,338,81,187,122,30,217,339,842
23,474,338,81,187,72,30,217,339,842
24,474,338,81,187,72,0,217,339,842
25,474,338,81,187,72,0,167,339,842
26,474,338,81,187,72,0,167,289,842
27,474,338,81,187,72,0,167,289,792
28,424,338,81,187,72,0,167,289,792
29,424,288,81,187,72,0,167,289,792
30,424,288,31,187,72,0,167,289,792
31,424,288,31,137,72,0,167,289,792
32,424,288,31,137,22,0,167,289,792
33,424,288,31,137,22,0,117,289,792
34,424,288,31,137,22,0,117,239,792
35,424,288,31,137,22,0,117,239,742
36,374,288,31,137,22,0,117,239,742
37,374,238,31,137,22,0,117,239,742
38,374,238,0,137,22,0,117,239,742
39,374,238,0,87,22,0,117,239,742
40,374,238,0,87,0,0,117,239,742
41,374,238,0,87,0,0,67,239,742
42,374,238,0,87,0,0,67,189,742
43,374,238,0,87,0,0,67,189,692
44,324,238,0,87,0,0,67,189,692
45,324,188,0,87,0,0,67,189,692
46,324,188,0,37,0,0,67,189,692
47,324,188,0,37,0,0,17,189,692
48,324,188,0,37,0,0,17,139,692
49,324,188,0,37,0,0,17,139,642
50,274,188,0,37,0,0,17,139,642
51,274,138,0,37,0,0,17,139,642
52,274,138,0,0,0,0,17,139,642
53,274,138,0,0,0,0,0,139,642
54,274,138,0,0,0,0,0,89,642
55,274,138,0,0,0,0,0,89,592
56,224,138,0,0,0,0,0,89,592
57,224,88,0,0,0,0,0,89,592
58,224,88,0,0,0,0,0,39,592
59,224,88,0,0,0,0,0,39,542
60,174,88,0,0,0,0,0,39,542
61,174,38,0,0,0,0,0,39,542
62,174,38,0,0,0,0,0,0,542
63,174,38,0,0,0,0,0,0,492
64,124,38,0,0,0,0,0,0,492
65,124,0,0,0,0,0,0,0,492
66,124,0,0,0,0,0,0,0,442
67,74,0,0,0,0,0,0,0,442
68,74,0,0,0,0,0,0,0,392
69,24,0,0,0,0,0,0,0,392
70,24,0,0,0,0,0,0,0,342
71,0,0,0,0,0,0,0,0,342
72,0,0,0,0,0,0,0,0,292
73,0,0,0,0,0,0,0,0,242
74,0,0,0,0,0,0,0,0,192
75,0,0,0,0,0,0,0,0,142
76,0,0,0,0,0,0,0,0,92
77,0,0,0,0,0,0,0,0,42
78,0,0,0,0,0,0,0,0,0
TURN_AROUND_TIME:,3598,3306,1972,2673,2050,1249,2693,3159,3961
Total_Turnaround_Time:,24661
Average_Turnaround_Time:,2740.1111111111113
,
SCHEDULER:,LOTTERY_(60)
PID:,1,2,3,4,5,6,7,8,9
BURST_TIME:,624,488,231,337,222,130,317,439,942
PRIORITY:,2,15,16,7,3,17,11,8,10
TIME,PID_1,PID_2,PID_3,PID_4,PID_5,PID_6,PID_7,PID_8,PID_9
0,624,488,231,337,222,130,317,439,942
1,624,488,231,337,222,70,317,439,942
2,624,488,171,337,222,70,317,439,942
3,624,488,171,337,162,70,317,439,942
4,624,488,171,337,162,70,257,439,942
5,624,488,111,337,162,70,257,439,942
6,624,488,111,337,162,70,257,439,882
7,624,488,111,337,162,70,197,439,882
8,624,488,111,337,102,70,197,439,882
9,624,488,111,337,102,10,197,439,882
10,624,488,111,337,102,10,197,439,822
11,624,488,111,337,102,10,197,379,822
12,624,488,111,337,102,10,197,379,762
13,624,488,111,337,102,0,197,379,762
14,624,488,111,337,102,0,137,379,762
15,624,488,111,337,102,0,77,379,762
16,624,488,51,337,102,0,77,379,762
17,624,488,51,277,102,0,77,379,762
18,624,488,0,277,102,0,77,379,762
19,624,428,0,277,102,0,77,379,762
20,624,368,0,277,102,0,77,379,762
21,624,368,0,277,102,0,77,379,702
22,624,368,0,277,102,0,17,379,702
23,624,368,0,277,102,0,0,379,702
24,624,368,0,277,42,0,0,379,702
25,624,308,0,277,42,0,0,379,702
26,624,308,0,277,42,0,0,319,702
27,624,248,0,277,42,0,0,319,702
28,624,248,0,277,42,0,0,259,702
29,624,248,0,277,42,0,0,199,702
30,624,248,0,277,42,0,0,139,702
31,624,188,0,277,42,0,0,139,702
32,564,188,0,277,42,0,0,139,702
33,564,128,0,277,42,0,0,139,702
34,564,68,0,277,42,0,0,139,702
35,564,8,0,277,42,0,0,139,702
36,564,0,0,277,42,0,0,139,702
37,564,0,0,277,0,0,0,139,702
38,564,0,0,277,0,0,0,79,702
39,564,0,0,277,0,0,0,19,702
40,564,0,0,217,0,0,0,19,702
41,564,0,0,157,0,0,0,19,702
42,564,0,0,157,0,0,0,19,642
43,564,0,0,157,0,0,0,19,582
44,564,0,0,157,0,0,0,19,522
45,564,0,0,97,0,0,0,19,522
46,564,0,0,37,0,0,0,19,522
47,564,0,0,37,0,0,0,19,462
48,504,0,0,37,0,0,0,19,462
49,504,0,0,0,0,0,0,19,462
50,504,0,0,0,0,0,0,0,462
51,504,0,0,0,0,0,0,0,402
52,504,0,0,0,0,0,0,0,342
53,504,0,0,0,0,0,0,0,282
54,504,0,0,0,0,0,0,0,222
55,504,0,0,0,0,0,0,0,162
56,504,0,0,0,0,0,0,0,102
57,504,0,0,0,0,0,0,0,42
58,504,0,0,0,0,0,0,0,0
59,444,0,0,0,0,0,0,0,0
60,384,0,0,0,0,0,0,0,0
61,324,0,0,0,0,0,0,0,0
62,264,0,0,0,0,0,0,0,0
63,204,0,0,0,0,0,0,0,0
64,144,0,0,0,0,0,0,0,0
65,84,0,0,0,0,0,0,0,0
66,24,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0
TURN_AROUND_TIME:,3928,2111,1072,2889,2156,766,1344,2911,3397
Total_Turnaround_Time:,20574
Average_Turnaround_Time:,2286.0
