Algorithm_Name,Matrix_Size,Execution_Time
Iterative,1,3.00407409668e-05
Iterative,1,1.09672546387e-05
Iterative,1,6.19888305664e-06
Iterative,1,4.76837158203e-06
Iterative,1,5.00679016113e-06
Iterative,1,5.00679016113e-06
Iterative,1,5.00679016113e-06
Iterative,1,4.76837158203e-06
Iterative,1,5.00679016113e-06
Iterative,1,5.00679016113e-06
Iterative,2,5.91278076172e-05
Iterative,2,1.21593475342e-05
Iterative,2,1.09672546387e-05
Iterative,2,1.00135803223e-05
Iterative,2,1.00135803223e-05
Iterative,2,1.00135803223e-05
Iterative,2,1.00135803223e-05
Iterative,2,1.00135803223e-05
Iterative,2,1.00135803223e-05
Iterative,2,1.00135803223e-05
Iterative,4,6.60419464111e-05
Iterative,4,3.60012054443e-05
Iterative,4,3.40938568115e-05
Iterative,4,3.40938568115e-05
Iterative,4,3.2901763916e-05
Iterative,4,3.40938568115e-05
Iterative,4,3.38554382324e-05
Iterative,4,3.2901763916e-05
Iterative,4,3.31401824951e-05
Iterative,4,3.2901763916e-05
Iterative,8,0.000178098678589
Iterative,8,0.000168085098267
Iterative,8,0.000166893005371
Iterative,8,0.000165939331055
Iterative,8,0.000164985656738
Iterative,8,0.000164985656738
Iterative,8,0.000164985656738
Iterative,8,0.000164985656738
Iterative,8,0.000164985656738
Iterative,8,0.000164985656738
Iterative,16,0.00107407569885
Iterative,16,0.00104117393494
Iterative,16,0.00100684165955
Iterative,16,0.00091290473938
Iterative,16,0.00091290473938
Iterative,16,0.000911951065063
Iterative,16,0.00101494789124
Iterative,16,0.00110006332397
Iterative,16,0.00104093551636
Iterative,16,0.00107192993164
Iterative,32,0.00698804855347
Iterative,32,0.00642585754395
Iterative,32,0.00587391853333
Iterative,32,0.00572800636292
Iterative,32,0.00621485710144
Iterative,32,0.0053858757019
Iterative,32,0.00599479675293
Iterative,32,0.00540494918823
Iterative,32,0.00686097145081
Iterative,32,0.00648903846741
Iterative,64,0.0477221012115
Iterative,64,0.0442941188812
Iterative,64,0.0423171520233
Iterative,64,0.0470819473267
Iterative,64,0.0454249382019
Iterative,64,0.0400359630585
Iterative,64,0.0427680015564
Iterative,64,0.0422930717468
Iterative,64,0.0429239273071
Iterative,64,0.0438930988312
Iterative,128,0.333986997604
Iterative,128,0.314642190933
Iterative,128,0.333770036697
Iterative,128,0.325590848923
Iterative,128,0.324344873428
Iterative,128,0.323065042496
Iterative,128,0.322340965271
Iterative,128,0.333578109741
Iterative,128,0.326724052429
Iterative,128,0.328091859818
Iterative,256,2.94910597801
Iterative,256,2.53381896019
Iterative,256,2.57219314575
Iterative,256,2.54442501068
Iterative,256,2.57770490646
Iterative,256,2.57115101814
Iterative,256,2.79395198822
Iterative,256,2.64364004135
Iterative,256,2.78529405594
Iterative,256,2.58902597427
Iterative,512,22.9654548168
Iterative,512,23.7107100487
Iterative,512,25.388864994
Iterative,512,32.1420068741
Iterative,512,24.1555190086
Iterative,512,24.5916969776
Iterative,1024,194.090248108
Iterative,1024,195.826114893
Iterative,1024,191.161034107
Iterative,1024,198.099129915
Iterative,2048,1688.18014002
Recursive,2,9.89437103271e-05
Recursive,2,1.38282775879e-05
Recursive,2,1.09672546387e-05
Recursive,2,1.09672546387e-05
Recursive,2,1.09672546387e-05
Recursive,2,1.09672546387e-05
Recursive,2,1.09672546387e-05
Recursive,2,1.00135803223e-05
Recursive,2,1.09672546387e-05
Recursive,2,1.00135803223e-05
Recursive,4,0.000177145004272
Recursive,4,0.000132083892822
Recursive,4,0.000128984451294
Recursive,4,0.000139951705933
Recursive,4,0.000128030776978
Recursive,4,0.000128984451294
Recursive,4,0.000133991241455
Recursive,4,0.000127077102661
Recursive,4,0.000113964080811
Recursive,4,0.000113010406494
Recursive,8,0.00117492675781
Recursive,8,0.00114417076111
Recursive,8,0.00105595588684
Recursive,8,0.000998973846436
Recursive,8,0.000996112823486
Recursive,8,0.00099778175354
Recursive,8,0.000996112823486
Recursive,8,0.000996828079224
Recursive,8,0.00098705291748
Recursive,8,0.000892877578735
Recursive,16,0.00882506370544
Recursive,16,0.00894093513489
Recursive,16,0.00788307189941
Recursive,16,0.00738716125488
Recursive,16,0.00850081443787
Recursive,16,0.00675106048584
Recursive,16,0.00774192810059
Recursive,16,0.00690698623657
Recursive,16,0.00917601585388
Recursive,16,0.00801706314087
Recursive,32,0.0657389163971
Recursive,32,0.0653431415558
Recursive,32,0.0619950294495
Recursive,32,0.0648760795593
Recursive,32,0.057501077652
Recursive,32,0.057843208313
Recursive,32,0.0550479888916
Recursive,32,0.0544230937958
Recursive,32,0.057932138443
Recursive,32,0.0549809932709
Recursive,64,0.479219913483
Recursive,64,0.466428995132
Recursive,64,0.484215021133
Recursive,64,0.492207050323
Recursive,64,0.504046916962
Recursive,64,0.503385782242
Recursive,64,0.513621091843
Recursive,64,0.4826130867
Recursive,64,0.469694137573
Recursive,64,0.460582971573
Recursive,128,3.9047088623
Recursive,128,4.03767514229
Recursive,128,3.8855919838
Recursive,128,3.85207295418
Recursive,128,3.88248205185
Recursive,128,3.8675301075
Recursive,128,3.84517717361
Recursive,128,3.84137892723
Recursive,128,3.86883115768
Recursive,128,3.8793900013
Recursive,256,30.7336318493
Recursive,256,30.7188661098
Recursive,256,30.695540905
Recursive,256,30.6770210266
Recursive,256,30.663312912
Recursive,256,31.4083960056
Recursive,256,31.700920105
Recursive,256,31.2566719055
Recursive,256,31.0617091656
Recursive,256,30.8394532204
Recursive,512,241.340954065
Recursive,512,238.050285101
Recursive,1024,2512.03676391
Strassen,1024,26821.4997199
Strassen,1024,9638.10978794
Strassen,1024,1203.47401381
Strassen,2,2.90870666504e-05
Strassen,2,1.38282775879e-05
Strassen,2,1.09672546387e-05
Strassen,2,1.00135803223e-05
Strassen,2,1.00135803223e-05
Strassen,2,1.00135803223e-05
Strassen,2,1.09672546387e-05
Strassen,2,1.00135803223e-05
Strassen,2,1.09672546387e-05
Strassen,2,1.00135803223e-05
Strassen,4,0.00019907951355
Strassen,4,0.000169992446899
Strassen,4,0.000168085098267
Strassen,4,0.000165939331055
Strassen,4,0.000165939331055
Strassen,4,0.000208854675293
Strassen,4,0.000185012817383
Strassen,4,0.000171184539795
Strassen,4,0.000169992446899
Strassen,4,0.000169992446899
Strassen,8,0.00150299072266
Strassen,8,0.00163793563843
Strassen,8,0.00133204460144
Strassen,8,0.0012149810791
Strassen,8,0.00121283531189
Strassen,8,0.00121307373047
Strassen,8,0.00121402740479
Strassen,8,0.00122308731079
Strassen,8,0.00109696388245
Strassen,8,0.00109386444092
Strassen,16,0.00983190536499
Strassen,16,0.00916886329651
Strassen,16,0.0090639591217
Strassen,16,0.00866508483887
Strassen,16,0.00750088691711
Strassen,16,0.00744199752808
Strassen,16,0.00728797912598
Strassen,16,0.00730800628662
Strassen,16,0.00728702545166
Strassen,16,0.00778913497925
Strassen,32,0.0603821277618
Strassen,32,0.0583140850067
Strassen,32,0.0551781654358
Strassen,32,0.0581338405609
Strassen,32,0.0556898117065
Strassen,32,0.0540239810944
Strassen,32,0.054309129715
Strassen,32,0.0526559352875
Strassen,32,0.0527040958405
Strassen,32,0.0526049137115
Strassen,64,0.398098945618
Strassen,64,0.399589776993
Strassen,64,0.418868780136
Strassen,64,0.42666387558
Strassen,64,0.397228002548
Strassen,64,0.391972064972
Strassen,64,0.398394107819
Strassen,64,0.405735969543
Strassen,64,0.395352125168
Strassen,64,0.389055013657
Strassen,128,2.76952409744
Strassen,128,2.74709200859
Strassen,128,2.75541400909
Strassen,128,2.70651388168
Strassen,128,2.72595596313
Strassen,128,2.70137906075
Strassen,128,2.69577503204
Strassen,128,2.70207214355
Strassen,128,2.76589298248
Strassen,128,2.72764587402
Strassen,256,20.4178729057
Strassen,256,19.844465971
Strassen,256,19.8347911835
Strassen,256,19.7314460278
Strassen,256,19.5885639191
Strassen,256,19.6731870174
Strassen,256,19.5806729794
Strassen,256,19.6011359692
Strassen,256,19.6904761791
Strassen,256,19.6696469784
Strassen,512,135.520102978
Strassen,512,134.195618868
Strassen,512,134.900319099
Strassen,512,135.065955162
Strassen,512,796.824079037
Strassen,512,134.952106953
Strassen,512,134.360087156
Strassen,512,134.612396002
Strassen,512,135.192572832
Strassen,512,134.492851019
